country,year,num
United States,2000,8
Italy,2000,1
Belgium,2000,1
Netherlands,2000,1
France,2000,3
Austria,2000,1
China,2000,1
Lithuania,2000,2
United Kingdom,2000,6
Brazil,2000,1
Argentina,2000,1
Portugal,2000,1
Spain,2000,1
Mexico,2000,1
Australia,2000,1
Philippines,2000,2
Ireland,2000,1
Germany,2000,2
Denmark,2000,1
Israel,2000,1
Sweden,2000,1
Dominican Republic,2000,1
Jamaica,2000,1
Vatican City,2000,1
Haiti,2000,1
United States,2001,9
Italy,2001,1
Netherlands,2001,1
France,2001,3
United Kingdom,2001,3
Spain,2001,3
Canada,2001,3
Nepal,2001,1
Australia,2001,1
Norway,2001,1
Switzerland,2001,1
Japan,2001,1
Ireland,2001,2
Germany,2001,3
Denmark,2001,1
Cyprus,2001,2
Croatia,2001,1
Sweden,2001,2
India,2001,2
Dominican Republic,2001,1
Morocco,2001,1
Seychelles,2001,1
Saint Barthélemy,2001,1
Saint Martin,2001,1
United States,2002,5
Italy,2002,2
Belgium,2002,2
Kenya,2002,1
Netherlands,2002,5
France,2002,5
Thailand,2002,1
Laos,2002,1
Vietnam,2002,1
Singapore,2002,1
Cambodia,2002,1
Austria,2002,4
China,2002,2
United Kingdom,2002,4
Brazil,2002,1
Portugal,2002,1
Spain,2002,1
Peru,2002,1
Canada,2002,4
Mexico,2002,1
New Zealand,2002,1
Australia,2002,1
Cuba,2002,1
Hungary,2002,1
Finland,2002,1
South Africa,2002,1
Switzerland,2002,2
Japan,2002,1
Ireland,2002,1
Germany,2002,5
Denmark,2002,1
Turkey,2002,3
Cyprus,2002,1
Croatia,2002,1
Czechia,2002,1
United States,2003,10
Greece,2003,1
Italy,2003,3
Belgium,2003,1
Netherlands,2003,1
France,2003,3
Costa Rica,2003,1
Indonesia,2003,1
Singapore,2003,1
Cambodia,2003,1
Austria,2003,2
China,2003,1
Russia,2003,1
United Kingdom,2003,4
Brazil,2003,1
Argentina,2003,2
Spain,2003,4
Canada,2003,3
Mexico,2003,1
New Zealand,2003,1
Australia,2003,2
Switzerland,2003,3
Germany,2003,3
Denmark,2003,1
Turkey,2003,1
Cyprus,2003,1
Malta,2003,1
Vatican City,2003,1
Botswana,2003,1
Cayman Islands,2003,1
Guadeloupe,2003,1
Uganda,2003,1
United States,2004,8
Italy,2004,3
Belgium,2004,2
Kenya,2004,1
Netherlands,2004,1
France,2004,5
Indonesia,2004,2
Singapore,2004,1
Austria,2004,1
China,2004,2
Lithuania,2004,1
Poland,2004,1
United Kingdom,2004,5
Argentina,2004,2
Chile,2004,1
Portugal,2004,1
Spain,2004,1
Canada,2004,4
Mexico,2004,2
Australia,2004,4
Cuba,2004,1
Switzerland,2004,1
Ireland,2004,1
Germany,2004,4
Denmark,2004,1
India,2004,1
Egypt,2004,1
British Virgin Islands,2004,1
The Bahamas,2004,1
Monaco,2004,1
Fiji,2004,1
Guatemala,2004,1
Namibia,2004,1
Tunisia,2004,1
Uganda,2004,1
Guinea,2004,1
United States,2005,13
Italy,2005,1
Netherlands,2005,1
France,2005,7
Costa Rica,2005,2
South Korea,2005,1
Malaysia,2005,3
Singapore,2005,1
China,2005,1
United Kingdom,2005,3
Brazil,2005,2
Argentina,2005,1
Chile,2005,1
Portugal,2005,2
Spain,2005,3
Peru,2005,1
Canada,2005,5
Mexico,2005,4
New Zealand,2005,1
Australia,2005,1
Switzerland,2005,1
Philippines,2005,1
Romania,2005,1
Ireland,2005,1
Germany,2005,2
Denmark,2005,1
Turkey,2005,2
Bulgaria,2005,1
Dominican Republic,2005,1
Egypt,2005,1
Jamaica,2005,1
Aruba,2005,1
The Bahamas,2005,2
Puerto Rico,2005,1
Tunisia,2005,2
Rwanda,2005,1
Guernsey,2005,1
Mozambique,2005,1
Benin,2005,1
United States,2006,17
Greece,2006,1
Italy,2006,4
Belgium,2006,2
Kenya,2006,1
Netherlands,2006,3
France,2006,6
Thailand,2006,1
Malaysia,2006,2
Indonesia,2006,2
Singapore,2006,3
Austria,2006,3
China,2006,3
Poland,2006,1
United Kingdom,2006,6
Brazil,2006,3
Argentina,2006,4
Antarctica,2006,1
Sri Lanka,2006,1
Portugal,2006,2
Spain,2006,4
Ecuador,2006,2
Canada,2006,4
Mexico,2006,2
New Zealand,2006,2
Colombia,2006,1
Australia,2006,3
Estonia,2006,1
Finland,2006,1
Iceland,2006,1
South Africa,2006,1
Switzerland,2006,3
Japan,2006,1
Romania,2006,1
Ireland,2006,2
Germany,2006,5
Turkey,2006,1
Malta,2006,1
British Virgin Islands,2006,1
Morocco,2006,1
Czechia,2006,1
Jamaica,2006,1
Aruba,2006,1
The Bahamas,2006,1
Monaco,2006,2
Tunisia,2006,1
Guadeloupe,2006,1
Rwanda,2006,1
Uganda,2006,1
Gibraltar,2006,1
Barbados,2006,1
Liechtenstein,2006,1
United States,2007,22
Italy,2007,6
Belgium,2007,1
Ukraine,2007,1
Netherlands,2007,5
France,2007,4
Costa Rica,2007,3
South Korea,2007,1
Thailand,2007,1
Vietnam,2007,1
Malaysia,2007,1
Singapore,2007,1
China,2007,6
Russia,2007,2
Poland,2007,1
United Kingdom,2007,6
Brazil,2007,2
Chile,2007,1
Spain,2007,3
Peru,2007,2
Ecuador,2007,1
Canada,2007,5
Mexico,2007,2
New Zealand,2007,3
Colombia,2007,1
Nepal,2007,1
Australia,2007,2
Hungary,2007,1
Norway,2007,1
South Africa,2007,1
Switzerland,2007,1
Philippines,2007,2
Japan,2007,4
Romania,2007,1
Bolivia,2007,2
Ireland,2007,1
Germany,2007,3
Turkey,2007,1
Slovenia,2007,1
India,2007,1
Czechia,2007,1
Mozambique,2007,1
Europe,2007,1
United States,2008,19
Greece,2008,3
Italy,2008,5
Belgium,2008,2
Kenya,2008,1
Netherlands,2008,8
France,2008,8
Costa Rica,2008,1
South Korea,2008,2
Thailand,2008,1
Vietnam,2008,1
Singapore,2008,1
Austria,2008,2
China,2008,4
Russia,2008,1
Poland,2008,3
United Kingdom,2008,6
Brazil,2008,1
Portugal,2008,1
Spain,2008,5
Ecuador,2008,1
Canada,2008,7
Mexico,2008,5
Colombia,2008,1
Australia,2008,2
Hungary,2008,2
South Africa,2008,1
Switzerland,2008,4
Philippines,2008,1
Japan,2008,4
Ireland,2008,1
Germany,2008,6
Israel,2008,3
Turkey,2008,3
Slovenia,2008,1
India,2008,1
Dominican Republic,2008,1
Egypt,2008,1
Morocco,2008,1
Czechia,2008,2
The Bahamas,2008,1
Oman,2008,1
Tunisia,2008,2
Rwanda,2008,1
Haiti,2008,1
