user,trips-count,contries_count,cities_count
"kblanqua
",89,29,50
"jani
",6,4,6
"lukecs1042
",7,5,7
"icastanheda
",8,4,6
"samdotvg
",5,5,5
"douglascrets
",4,3,4
"rcrocker13
",18,6,13
"simonlad
",3,2,3
"davidgsylvia
",5,3,4
"peterzen
",5,3,3
"edu
",25,11,18
"sharon
",8,7,7
"zirinisp
",7,5,7
"maxroyale
",8,6,8
"simonasta
",15,9,11
"ady
",27,25,26
"kevinjamesparks
",2,2,2
"spruce
",3,2,3
"luke_harvey
",40,18,32
"piazza_chris
",13,6,6
"andykassier
",154,17,48
"willows_gate
",22,12,16
"davidpeake
",24,12,19
"dmitriyabr
",40,11,23
"aleks_muse
",12,7,9
"tgamrekeli
",6,4,6
"corneljr
",2,2,2
"mayukojpn
",41,19,26
"hi
",13,6,7
"gietema
",2,2,2
"tapsmurove
",2,2,2
"ericvandenbroek
",4,3,3
"carlien
",4,3,4
"skewed_corp
",2,2,2
"chong
",19,8,12
"tolicious
",18,3,8
"john
",168,34,64
"aaleksandar
",47,20,27
"robertkowalski
",9,4,7
"tamtamchik
",50,18,35
"luisplz
",3,2,3
"aileencgn
",151,28,86
"elcandor
",4,3,4
"sadokx
",6,4,5
"vfonic
",23,17,20
"steph_danforth
",159,21,45
"n_richer
",6,6,6
"reikudo
",19,12,16
"ben264
",5,2,5
"daniellauding
",115,37,83
"vladg
",2,2,2
"mv
",200,45,117
"coworkingnomad
",4,4,4
"kumarovski
",3,2,3
"jonnym1ller
",11,4,6
"juhakovanen
",7,5,7
"maxpogorelov
",4,4,4
"derviskilic
",14,5,8
"wolvegames
",21,10,17
"westegggatsby
",17,3,16
"luizaugusto
",42,14,26
"mshakurova
",26,8,14
"rockyrohde
",52,17,36
"jaicab
",28,8,16
"arlton
",26,9,26
"jessehanley
",56,24,38
"jaemoon
",18,14,18
"mvremmerden
",80,24,55
"gabe
",3,3,3
"cameron
",2,2,2
"jumpoffio
",12,7,11
"machycek
",11,6,10
"a
",8,3,8
"grace
",26,15,21
"tonyschmidt
",16,9,15
"tpaktop
",10,6,8
"xpert4allpeople
",4,2,3
"londonday
",4,4,4
"murillo
",8,6,8
"karan
",16,5,14
"pb
",16,6,13
"edusantorini
",14,6,10
"etang20
",4,2,4
"viniciusteles
",6,4,5
"vellu
",8,6,6
"weals
",29,8,17
"the_nomad_polymath
",4,2,4
"gilesadamthomas
",13,6,9
"changdout
",2,2,2
"simone_scarduzio
",30,13,22
"benhourigan
",15,8,12
"meiyi_cheng
",24,7,16
"yildizalidzhikova
",25,15,22
"sarah
",4,3,4
"kzaaaam
",13,5,10
"minkylive
",33,15,20
"zsofiaszarka
",19,13,16
"rbright
",57,8,20
"stnly
",10,7,7
"wilczynski_a
",6,4,6
"simmschanita
",12,8,12
"metamas
",4,4,4
"lokiilow
",3,2,3
"ecosuave
",45,18,37
"joe_cox
",13,5,13
"fagelstrom
",15,12,14
"franceschina
",11,10,10
"drorliebenthal
",17,8,13
"highhermitage
",2,2,2
"jamiesyke
",28,11,11
"aymorgan
",25,11,23
